region,legacy_dist_id,legacy_name,new_name,capital,category,pop2010,pop2021,status
Greater Accra,,,Ga North Municipal,Amomole,Municipal,102000,164870,NEW
Greater Accra,43,Ga South Municipal,Ga South Municipal,Ngleshie Amanfro,Municipal,195905,316470,MATCHED_EXACT
Greater Accra,45,Ga West Municipal,Ga West Municipal,Amasaman,Municipal,140000,226340,MATCHED_EXACT
Greater Accra,,,Korle-Klottey Municipal,Osu,Municipal,96000,155120,NEW
Greater Accra,52,Kpone-Katamanso,Kpone-Katamanso Municipal,Kpone,Municipal,134052,216750,MATCHED_EXACT
Greater Accra,,,Krowor Municipal,Nungua,Municipal,110000,177780,NEW
Greater Accra,48,La-Dadekotopon Municipal,La-Dade-Kotopon Municipal,La,Municipal,128220,207230,MATCHED_EXACT
Greater Accra,49,La Nkwantanang-Madina Municipal,La-Nkwantanang-Madina Municipal,Madina,Municipal,169107,273220,MATCHED_EXACT
Greater Accra,50,Ledzokuku-Krowor Municipal,Ledzokuku Municipal,Teshie,Municipal,197554,319290,MATCHED_FUZZY
Greater Accra,56,Ningo-Prampram,Ningo-Prampram,Prampram,District,81785,132110,MATCHED_EXACT
Greater Accra,,,Okaikwei North Municipal,Tesano,Municipal,98000,158420,NEW
Greater Accra,55,Shai-Osudoku,Shai-Osudoku,Dodowa,District,110280,178320,MATCHED_EXACT
Greater Accra,51,Tema Metropolis,Tema Metropolitan,Tema,Metropolitan,402637,650580,MATCHED_EXACT
Greater Accra,,,Tema West Municipal,Tema Community 18,Municipal,152000,245780,NEW
Greater Accra,,,Weija-Gbawe Municipal,Weija,Municipal,136000,219740,NEW
North East,192,Bunkpurugu-Yunyoo,Bunkpurugu-Nyankpanduri,Bunkpurugu,District,84210,110450,MATCHED_FUZZY
North East,181,Chereponi,Chereponi,Chereponi,District,54320,71230,MATCHED_EXACT
North East,191,East Mamprusi,East Mamprusi Municipal,Nalerigu,Municipal,108456,142320,MATCHED_EXACT
North East,190,Mamprugu-Moagduri,Mamprugu Moagduri,Yagaba,District,63450,83230,MATCHED_EXACT
North East,189,West Mamprusi,West Mamprusi Municipal,Walewale,Municipal,112340,147450,MATCHED_EXACT
North East,,,Yunyoo-Nasuan,Yunyoo,District,42120,55230,NEW
Northern,182,Gushiegu,Gushegu Municipal,Gushegu,Municipal,127342,167120,MATCHED_FUZZY
Northern,183,Karaga,Karaga,Karaga,District,66123,86750,MATCHED_EXACT
Northern,173,Kpandai,Kpandai,Kpandai,District,112342,147450,MATCHED_EXACT
Northern,188,Kumbungu,Kumbungu,Kumbungu,District,78120,102540,MATCHED_EXACT
Northern,179,Mion,Mion,Sang,District,91230,119750,MATCHED_EXACT
Northern,,,Nanton,Nanton,District,55120,72320,NEW
Northern,174,Nanumba North,Nanumba North Municipal,Bimbilla,Municipal,146342,192010,MATCHED_EXACT
Northern,175,Nanumba South,Nanumba South,Wulensi,District,89120,116960,MATCHED_EXACT
Northern,180,Saboba,Saboba,Saboba,District,79230,103990,MATCHED_EXACT
Northern,186,Sagnarigu,Sagnarigu Municipal,Sagnarigu,Municipal,282154,370350,MATCHED_EXACT
Northern,184,Savelugu-Nanton,Savelugu Municipal,Savelugu,Municipal,121235,159030,MATCHED_FUZZY
Northern,185,Tamale Metropolis,Tamale Metropolitan,Tamale,Metropolitan,371351,487520,MATCHED_EXACT
Northern,177,Tatale-Sanguli,Tatale Sanguli,Tatale,District,58120,76270,MATCHED_EXACT
Northern,187,Tolon,Tolon,Tolon,District,75230,98750,MATCHED_EXACT
Northern,178,Yendi Municipal,Yendi Municipal,Yendi,Municipal,155345,203880,MATCHED_EXACT
Northern,176,Zabzugu,Zabzugu,Zabzugu,District,63120,82870,MATCHED_EXACT
Oti,77,Biakoye,Biakoye,Nkonya Ahenkro,District,55230,72450,MATCHED_EXACT
Oti,217,Guan,Guan,Likpe-Mate,District,32000,42010,MATCHED_EXACT
Oti,76,Jasikan,Jasikan Municipal,Jasikan,Municipal,87340,114620,MATCHED_EXACT
Oti,78,Kadjebi,Kadjebi,Kadjebi,District,78120,102540,MATCHED_EXACT
Oti,79,Krachi East,Krachi East Municipal,Dambai,Municipal,95230,124970,MATCHED_EXACT
Oti,81,Krachi Nchumuru,Krachi Nchumuru,Chinderi,District,43120,56580,MATCHED_EXACT
Oti,80,Krachi West,Krachi West Municipal,Kete Krachi,Municipal,73450,96360,MATCHED_EXACT
Oti,83,Nkwanta North,Nkwanta North,Kpassa,District,57340,75230,MATCHED_EXACT
Oti,82,Nkwanta South,Nkwanta South Municipal,Nkwanta,Municipal,109230,143350,MATCHED_EXACT
Savannah,167,Bole,Bole,Bole,District,83450,109530,MATCHED_EXACT
Savannah,171,Central Gonja,Central Gonja,Buipe,District,61230,80390,MATCHED_EXACT
Savannah,172,East Gonja,East Gonja Municipal,Salaga,Municipal,108340,142210,MATCHED_EXACT
Savannah,170,North Gonja,North Gonja,Daboya,District,44120,57920,MATCHED_EXACT
Savannah,,,North East Gonja,Kpalbe,District,33450,43930,NEW
Savannah,168,Sawla-Tuna-Kalba,Sawla-Tuna-Kalba,Sawla,District,82120,107820,MATCHED_EXACT
Savannah,169,West Gonja,West Gonja Municipal,Damongo,Municipal,73450,96420,MATCHED_EXACT
Upper East,202,Bawku Municipal,Bawku Municipal,Bawku,Municipal,117233,153850,MATCHED_EXACT
Upper East,201,Bawku West,Bawku West,Zebilla,District,87654,115070,MATCHED_EXACT
Upper East,205,Binduri,Binduri,Binduri,District,54321,71300,MATCHED_EXACT
Upper East,,,Bolgatanga East,Zuarungu,District,55670,73080,NEW
Upper East,197,Bolgatanga Municipal,Bolgatanga Municipal,Bolgatanga,Municipal,131550,172690,MATCHED_EXACT
Upper East,198,Bongo,Bongo,Bongo,District,96341,126530,MATCHED_EXACT
Upper East,194,Builsa North,Builsa North Municipal,Sandema,Municipal,78234,102730,MATCHED_EXACT
Upper East,193,Builsa South,Builsa South,Fumbisi,District,52341,68700,MATCHED_EXACT
Upper East,,,Garu,Garu,District,63450,83280,NEW
